"text","hashtags","sentiment"
"young rebel star contributes 50 lakhs total contribution 4 5 cr fight aganist ","['Prabhas', 'CCC', 'CoronaCrisisCharity', 'Prabhas']","0.05"
"barbaric amid chinese virus outbreak hindus denied food supplies karachi pakistan food basic thing survive action pak eliminate minorities corona pandemic allah watching","[]","0"
"must unavoidably make contact human objects make sure sterilize palm fingers hands immediately contact even touching phones pocket opening doors keys clothes u 90 safe corona virus ","[]","0.375"
"rich people brought virus india territory amp n t even quarantined govt n t want inconvenience poor singled suffer modi half smart vicious d stopped bad optics ","[]","0.375"
"corona virus hysteria charts puts perspective amp lets decide ","[]","0"
"cows get respect concern india modi yogi government kiiling migrant laborers chemical solution ","['Corona']","0.5"
"govt many states decided release thousands prisoners parole reduce congestion jails view corona menace elderly people prone infections demand sant shri asaramji bapu","[]","0.5"
"got ta tell kids ended corona virus","['JohnnysWorldHappyLIVEwithYou']","0"
"let s agree first network embrace data cut price would preferred network corona ish ","[]","0.25"
"pakistan patient recovers corona virus gave party 100 people gain mild symptoms tested positive ","['جومحدود_وہ_محفوظ']","0.1202020202020202"
" 84 year old woman died complications jerusalems shaare zedek medical center seriously ill six days s 15th corona related death may memory blessing ","['BREAKING', 'coronavirus']","-0.05"
"happy ikorodu finest lawmaker god s grace upon life sir ","[]","0.65"
"dear ji amp ji corona situation control let s create massive small scale industries amp bihar reduce india s dependence china amp reduce states dependence states owe bottom pyramid workforce ","[]","-0.125"
"young rebel star contributes 50 lakhs total contribution 4 5 cr fight aganist information visit","['Prabhas', 'CCC', 'CoronaCrisisCharity', 'Prabhas']","0.05"
"corona attacks mostly old pple due weak immune system govt ordered release prisoners parole 84 yrs innocent sant shri asharamji bapu jail mandir still govt silent him we want justice","['ReleaseAsharamjiBapuOnParole']","0.5"
"brother filled data deserving daily wages labor proforma u mentioned earliest post please look verify really poor deserving corona crisses thanks","[]","0.27142857142857146"
"mann ki baat ashok kapoor agra shares overcame covid 19 menace","[]","0"
"corona mosquito sanjay jha belly dancer ","[]","0"
"china exporting faulty thermometers amp masks wasnt enough man rubbing new masks feet pass possibility infection target countries still sure dont want call ","[]","0.06818181818181818"
" provide economic relief nigerians even n50k each actor yul edochie tells president buhari","['Coronavirus']","0.2"
"people experiencing domestic violence mandatory lockdowns curb spread covid 19 trapped homes abusers isolated people resources could help","[]","-0.1"
"imagine corona spread fast around world example damn","['ChineseBioterrorism', '2019nCoV', 'WHO']","0.35"
"bye bye corona sincerely 2pm","[]","0.5"
"delighted represent meeting 40 leaders influencers via zoom pro israel advocacy wake discussion included challenges facing mda fight ","['Ireland', 'Covid_19', 'Covid_19', 'Israel']","0.7"
"already stated corona outbreak fatal people 60 years judiciary considering health issue sant shri asharamji bapu jailed fabricated case ","[]","0"
"put differently rich wealthy lebanon tragic times amp faltering economy move amp least spend money constituencies move could ever provoke humanity ","['Corona', 'Covid_19']","0.03125"
"david n t summit cv god mentioned samuel may lord single greatness season corona amen ","[]","-0.07142857142857142"
"sant shri asharamji bapu worked welfare society 50 years age 84 years need early release account pandemic corona virus spread india ","[]","0.25"
"im recovering corona currently loss taste smell id experienced symptoms","[]","0.225"
"bet anti vaxxers real quiet corona vaccine comes","[]","0"
"china exporting faulty thermometers amp masks wasnt enough man rubbing new masks feet pass possibility infection target countries still sure dont want call ","[]","0.06818181818181818"
"dems ready face fall 24 nap political peril ","[]","0.26666666666666666"
"_lintel morning ann see learning amp sharing time corona possibilities student vids blogs zoom teams agree twitter would work support see examples","['CoReadingVirus', 'CovidCeilidh']","0"
"video conferencing corona arrange adequate quantity ventilators test kit cm","[]","0.3333333333333333"
"seems like worst ","[]","-1"
"dear crush im coming ive survived ebola amp corona think rejection id fear forever","[]","0"
"corona got kids exposing everything huh","[]","-0.125"
"corona took ur jobs yall worried mexicans","[]","0"
"spraying migrant labourers disinfectants animals spray disinfectant passengers airlifted various countries fucking morality","[]","0"
"young rebel star contributes 50 lakhs total contribution 4 5 cr fight aganist ","['Prabhas', 'CCC', 'CoronaCrisisCharity', 'Prabhas']","0.05"
"wonder many corona cases coincide sealed indictments ","[]","0.5"
"panchyat sachiv candidate also stand corona epedemic","['jsscपंचायत_सचिव_अभ्यर्थी_CM_राहतकोष']","0"
"_aurora_ well done south africa majority wasting votes anc eff still believe jan van riebeeck apartheid white monopoly capital helen zille fw de klerk whites stole land blame corona virus","[]","0"
"100 patients crossed 4 digits now 1071 corona infected people india ","['IndiaFightsCorona']","0"
"worst corona upon us","[]","-1"
"dont mind atheists cant see brain believe exists ","[]","0"
" appeal fight together ","['StayAtHomeAndStaySafe', 'Corona', 'TN_Together_Against_Corona']","0"
"cartoon applicable every nation patriots struggling save nation chinese virus nation breakers within struggling make things worse corona virus covid 19 chinese virus boycott communist china isolate communist china","[]","-0.13333333333333333"
"bye bye corona sincerely 2pm","[]","0.5"
"everyone needlessly gets overly animated real threat eu manifesting limited enough scrutiny comparison","['Coronabonds']","-0.09285714285714286"
"love time corona based actual sexts message funniest sweetest craziest lockdown sexts ll draw best one anonymity guaranteed screenshots pls know s real consensual stuff might edit artistic purposes ","[]","0.25"
"corona stuff going find health care workers show appreciation xx","[]","0"
"countries lower new corona cases ones recording outrageous numbers right china hand new cases","[]","-0.12775974025974027"
"thanks corona know following 1 places good lunch goes 50bob 2 viongozi ni waoga wa kawaida ni midomo kubwa tu wanakuanga nayo caged fearing die 3 usa na europe also vulnerable kama wengine 4 preacher heal one ","[]","0.3"
"world power ","[]","0"
"young rebel star contributes 50 lakhs total contribution 4 5 cr fight aganist ","['Prabhas', 'CCC', 'CoronaCrisisCharity', 'Prabhas']","0.05"
"1 kill coronavirus infection 2 may may disinfect skin washing hands soap 3 demeaning humans public health devoid ethics ","[]","0"
"corona virus end","['SBWL']","0"
"spoke doctors tumakuru cnagar belagavi karwar look positive looking spread virus say corona less virulent india true definitely saved ","[]","0.22727272727272727"
"thank god mercy endureth forever","[]","0"
"young rebel star contributes 50 lakhs total contribution 4 5 cr fight aganist ","['Prabhas', 'CCC', 'CoronaCrisisCharity', 'Prabhas']","0.05"
"spraying migrant labourers disinfectants animals spray disinfectant passengers airlifted various countries fucking morality","[]","0"
"spraying migrant labourers disinfectants animals spray disinfectant passengers airlifted various countries fucking morality","[]","0"
"sir plz go medicine journal u get know actual facts corona stop criticizing china nice day","[]","0.3"
"hold beer","[]","0"
"listen treatment incurable diseases satsang metaphysical saint saint rampal ji maharaj could finish corona root information must watch sadhana tv 7 30 p m ","['Benefits_Of_Satsang']","-0.25"
"area right looks like estate ooo area paa kw3 corona brought things laa oo pray goes sooner ","[]","0.4464285714285714"
"havent heard mps allocating mp lads controlling corona starting amp sonia gandhi contribution ","['PMCaresFunds']","0"
"_jua toyota corona 2020 se v6 chinese full option goes much ","[]","0.18333333333333335"
"world best medevac covid patient germany activates flying icu plane airbus a310 medevac fly corona patients italy hospitals germany plane capacity 44 beds 16 high intensive care patients 25 medical staff ","[]","0.9"
"rt promo gc gain mutuals reply like giveaway au loona fancam psycho bp bts 2020 gain blackpink baby furry nsfw boyfriend au itzy stan loona daddy porn bighit follow trick fluff angst mommy daddy nct exo txt corona uk fb win gay jojo siwa bf","['kpop']","0.37222222222222223"
"facts overlooked sant shri asharamji bapu case 1 call details girl speaking someone time said incident 2 fir register torn 3 fax yog vedant sewa samiti demanding ransom amount amidst corona fear want","[]","0"
"bet anti vaxxers real quiet corona vaccine comes","[]","0"
"dear crush im coming ive survived ebola amp corona think rejection id fear forever","[]","0"
"bye bye corona sincerely 2pm","[]","0.5"
"bye bye corona sincerely 2pm","[]","0.5"
"shekhar gupta s theprint claims govt may extend lockdown prasar bharati terms fake news","[]","-0.5"
"one corona binges smash m season two gets worse episode fun hey s ephraim sykes seth rudetsky kinda way thanks hilarious recaps vulture finish show oh yes finished ","[]","0.16875"
"corona took ur jobs yall worried mexicans","[]","0"
"renard sends message football fans corona","[]","0"
"special service house hold members insist heading world fights corona ","['keepingitlite']","0.44642857142857145"
"_doctor sharing people see i mild asthma attack last night could n t breath well first time brother sister asthibut me i scared mind already going coronai already crying i n t cough headache","[]","0.16666666666666666"
"u mean japan lmfaooo","[]","-0.3125"
"top response team left never replaced trump said democrats criticism administrations handling corona virus would next hoax ","[]","0.16666666666666666"
"khan handsome also next level genius knowing fact animals immune coronavirus sets volunteer force name corona relief tigers asks youth ias register oh khan ","[]","0.16666666666666666"
"young rebel star contributes 50 lakhs total contribution 4 5 cr fight actor big heart true pan indian star prabhas","['Prabhas', 'CoronaCrisisCharity', 'Prabhas']","0.05"
"china announces recovery 93 people infected virus corona","[]","0"
"proof need know establishment india s anti modern anti science establishment ","[]","0.39999999999999997"
"facts overlooked sant shri asharamji bapu case 1 call details girl speaking someone time said incident 2 fir register torn 3 fax yog vedant sewa samiti demanding ransom amount amidst corona fear want","[]","0"
"dear god abeg make win giveaway na","[]","0.8"
"bye bye corona sincerely 2pm","[]","0.5"
"really hits home family member contracts corona virus happening everyone dont think wont happen stay home","[]","0.25"
"corona virus covered entire world time caution cure stay home family remain safe","[]","0"
"r u trying kill corona humans migrant labourers families forced take bath chemical solution upon entry bareilly ","[]","-0.30000000000000004"
"pandemic corona virus spreading india risk old people govt must release 84 yr old sant shree asaram bapu ji parole people india demanding","[]","0.13333333333333333"
"corona epidemic hurts 60 years age bapuji 84 years old despite instructions supreme court government sant shri asharamji bapu yet released ","[]","0"
"bye bye corona sincerely 2pm","[]","0.5"
"corona exposing everything weak public infrastructure poor leadership selfishness people stupid religious leaders systemic poverty everyones underwear outside ","[]","-0.315"
"contributes 50lakhs totally donated 4 5cr fight","['Prabhas', 'CCC', 'CoronaCrisisCharity', 'Corona']","0"
"hollywood may make movie americans single handedly put end pandemic ","['COVID19', 'Corona', 'hollywood', 'pandemic', 'moviesuggestions']","-0.07142857142857142"
"80 crore families means approx 320 crore people s population india ","[]","0.5"
"look vedio people avoid spread","[]","0"
"china exporting faulty thermometers amp masks wasnt enough man rubbing new masks feet pass possibility infection target countries still sure dont want call ","[]","0.06818181818181818"
"birth painful process new life odd way look corona time ","[]","-0.24343434343434342"
"young rebel star contributes 50 lakhs total contribution 4 5 cr fight aganist ","['Prabhas', 'CCC', 'CoronaCrisisCharity', 'Prabhas']","0.05"
"novel 19 prevention cleaning partner provide sterilize cleaning solutions 100 cleaning visit ","['IndiafightsCorona', 'Corona', 'Virus', 'Covid', 'AstolCleantech', 'SteamCleaners']","0"
"spent 2 trillion saving economy corona virus theres money tests smh","[]","-0.1"
"young rebel star contributes 50 lakhs total contribution 4 5 cr fight actor big heart true pan indian star prabhas","['Prabhas', 'CoronaCrisisCharity', 'Prabhas']","0.05"
"1 kill coronavirus infection 2 may may disinfect skin washing hands soap 3 demeaning humans public health devoid ethics ","[]","0"
"full time artists people entertainment industry earn income march april corona outbreak care share want understand write twitter piece ","[]","0.35"
"man like smart","[]","0.21428571428571427"
"eve trump producer texted we media blood hands treated like criminal n t amp like legit candidate n t s happening w corona wh pressers re legit blood wo n t wash ","[]","-0.4"
"tune two funniest sports presenters best sports entertainment hbd corona day 3r3d3d3g3d3d3g3 3y3 kussh","[]","1"
"humble request india never fight us pls pls pls put ur power education need reseach day corona world racing fight provide diagnostic kits r push baking disease providing health equipment","[]","-0.2"
"r u trying kill corona humans migrant labourers families forced take bath chemical solution upon entry bareilly ","[]","-0.30000000000000004"
"_doctor instructed called doctor explained told get drugs come hospital i went found s corona explained things point n t think much ","[]","-0.125"
"satsangs true satguru tell us god eradicates even worst diseases even epidemic like corona ","['Benefits_Of_Satsang']","-0.325"
"young rebel star contributes 50 lakhs total contribution 4 5 cr fight aganist ","['Prabhas', 'CCC', 'CoronaCrisisCharity', 'Prabhas']","0.05"
" italian doctor break plays piano hospital also facebook ","[]","0"
"days beginning large scale double blinded trial france reached conclusion recommended treat many countries around world offering patients uk ","['chloroquine']","0.10714285714285714"
"bye bye corona sincerely 2pm","[]","0.5"
"_in s inx deal enough time plan amp prepare carry deal s corona quick decisions required taken","[]","0.16666666666666666"
"low iq media resorting sensationalism create panic chemical solution disinfectant spray measure used widely across world prevent reduce imported cases hope takes action journalist ","[]","0"
"1 rampur guy calls corona helpline asks samosas 2 repeatedly despite warnings 3 doesnt stop 4 arre samosa bhejo bhai 5 rampur dm gets samosas delivered guy 6 also orders clean drain punishment cc ","[]","0"
"china exporting faulty thermometers amp masks wasnt enough man rubbing new masks feet pass possibility infection target countries still sure dont want call ","[]","0.06818181818181818"
"gaza got two pakistanis travelled egypt thought prison ","['Corona']","0"
"_ibile pls anybody assist 2k even 1k least buy foodstuff home corona period pls dont let hunger finish pls dont mind amount sef even buy cup garri pls retweet well dm open pls","[]","-0.15"
"darling real king 1st indian star donates big amount 4cr pm telugu states cm relief fund young rebel star contributes 50 lakhs prabhas total contribution 4 5cr fight","['Prabhas', 'CCC', 'CoronaCrisisCharity', 'coronavirus']","0.07500000000000001"
"elderly people vulnerable corona many jails decided release prisoners amidst outbreak sant shri asaram bapu ji 80s enough evidences prove framed fake case conspiracy ","[]","0.16666666666666666"
"definitely current time need need better leadership ","['NitishMustQuit']","0.16666666666666666"
"spraying migrant labourers disinfectants animals spray disinfectant passengers airlifted various countries fucking morality","[]","0"
"males tweet right corona ","[]","0.3571428571428571"
"corona virus claimed many lives god kept u n ur family alive tell god something","[]","0.3"
"1 rampur guy calls corona helpline asks samosas 2 repeatedly despite warnings 3 doesnt stop 4 arre samosa bhejo bhai 5 rampur dm gets samosas delivered guy 6 also orders clean drain punishment cc ","[]","0"
"_khaan corona ","[]","0"
"bye bye corona sincerely 2pm","[]","0.5"
"chuck todd asked biden trump blood hands corona response anyone blood hands msm 4 years constant lies created atmosphere one trusts media people dying public n t know trust ","[]","0"
"doesnt want catch corona im already sick seeing ","[]","-0.7142857142857143"
"proven corona virus show effect generally 60 age group people gov t give parole 84 year s innocent sant shri asaramji bapu imprisoned past 7 year without proof ","[]","0.5"
"worst corona upon us","[]","-1"
"young rebel star contributes 50 lakhs total contribution 4 5 cr fight aganist ","['Prabhas', 'CCC', 'CoronaCrisisCharity', 'Prabhas']","0.05"
"trump commending west virginia cases corona virus whole time cases way testing care people story behind west virginia s no coronavirus statistic","[]","0.2"
"per smt s directions created new handle provide direct route customers complaints queries concerns banking insurance related issues regard corona virus related relief measures ","[]","0.11818181818181818"
"boyfriend sent corona virus money s telling avoid crowds ","[]","0"
"result accessive news corona pandemic causing psychological stress unnecessarily media also air informative motivational amp entertainment contents people shut news channels","[]","-0.2"
"carti stop corona","[]","0"
"party spread corona virus eat disgusting food unhealthy ","[]","-0.75"
"fuck bags like n t care corona corona s illegal braai road truly makes one gatvol people think law especially white fat cats like reason sa ","[]","-0.205"
" social distancing advice re hearing right n t simple behind bars crowding issues ventilation issues security issues especially senior citizens higher risk getting infected ","['ReleaseAsharamjiBapuOnParole']","0.028174603174603168"
"buhari approved amotekun corona amotekun end","[]","0"
"everyone need bit hope grandad 82 arriving back home beating corona virus done like true trooper nice back","[]","0"
"sir good announcement many state government decided release prisoners seeing terrible disease like corona release sant shri asharamji bapu parole ","[]","0.705"
"corona singers","[]","0"
"funniest internet corona temple run","[]","0"
"indian government decided anyone already prison 6 years released seeing corona virus sant shree asharamji bapu released ","['ReleaseAsharamjiBapuOnParole']","0"
"young rebel star contributes 50 lakhs towards tfi s help poor film workers grand total contribution towards relief efforts 4 5 cr hatsoff ","['Prabhas', 'CCC', 'CoronaCrisisCharity']","-0.15000000000000002"
"n t go outside corona stay home","[]","0"
"treat innocent citizens like slaves animals people pay tax keep ","[]","0.5"
"dear crush im coming ive survived ebola amp corona think rejection id fear forever","[]","0"
" ashok kapoor agra shares overcame covid 19 menace via namo app","['MannKiBaat']","0"
"fuck rapists fuck racism fuck corona fuck coleslaw ","[]","-0.4"
"darling contributes 50 lakhs total contribution 4 5 cr fight aganist ","['Prabhas', 'CCC', 'CoronaCrisisCharity', 'Prabhas']","0"
"r u trying kill corona humans migrant labourers families forced take bath chemical solution upon entry bareilly ","[]","-0.30000000000000004"
"reminder global pandemic meanwhile germany elected mp spd lighting old shirt disagrees behavior withhold rent paymentwhich incentivized laws passed spd coalition government beyond madness ","[]","0.05"
"ben shapiro interviews v p mike pence amp dr deborah birx amp gets latest corona virus additional information watch rudy giuliani s podcasts go twitter page ","[]","0.5"
"memes true ","['Memes', 'corona', 'coronavirusmemes']","0.4375"
"whole world falling apart due epidemic disease corona specially higher risk age 60 still unfortunately elderly sant shri asharamji bapu 84yrs prison n also bogus case ","[]","0.10833333333333334"
"young rebel star contributes 50 lakhs total contribution 4 5 cr fight aganist ","['Prabhas', 'CCC', 'CoronaCrisisCharity', 'Prabhas']","0.05"
"stray bullet allegedly fired men nigeria customs service ogun state command 1 pursuing rice smugglers killed pupil good see things dont change corona corona","[]","-0.1"
"china exporting faulty thermometers amp masks wasnt enough man rubbing new masks feet pass possibility infection target countries still sure dont want call ","[]","0.06818181818181818"
"corona virus existence since 2003 form sars lately mers however covid 19 new one currently dealing still corona mention corona movie doesnt mean anything research","[]","-0.3"
"tana mongeau gave corona honestly wouldnt mad","[]","-0.012500000000000011"
"kyrgyzstan 84 active cases corona recovery plzz help us let us steps taken regarding us stucked parents really worried ","['zero']","-0.13333333333333333"
" s corona patrol police continue shame thousands people allegedly flouting lockdown rules including twitter warning neil kinnock s mp son via","[]","-0.1"
"bye bye corona sincerely 2pm","[]","0.5"
"1 8 tested 395 samples 388 negative amp 7 i e 1 8 positive words even showing symptoms amp getting tested 2 100 positive time stay indoors amp practice distancing shall pass ","['Uttarakhand']","-0.0659090909090909"
"hundreds billions dollars injected us businesses counter effects corona money came taxation americans paying pocket comes federal reserve nations paying ","[]","0"
"corona virus financial war","[]","0"
"hope took corona virus him ","[]","0"
"india corona updates confirmed 1192 active 1061 recovered 102 deceased 29","['StayHomeStaySafe']","0.13333333333333336"
"ok going crazy police defense force give rights away abuse us keep us safe corona ","[]","-0.04999999999999999"
"r u trying kill corona humans migrant labourers families forced take bath chemical solution upon entry bareilly ","[]","-0.30000000000000004"
"slips showing everywhere","[]","0"
"us coronavirus cases reported 143 000 1 7 death rate corona only corona plus compromising ailment unemployed 3 2 million 0 prospect gainful reemployment impactful ","[]","-0.125"
"done airports may watching making increasingly leftist","[]","-0.05"
"spraying migrant labourers disinfectants animals spray disinfectant passengers airlifted various countries fucking morality","[]","0"
"kya baat legends becoming ultra legends thank u","['FightAgainstCOVID19']","0.45"
"day garri go finish poor man house corona go know say nobody de fear make de continue dey brag shaa ","[]","-0.4"
"boyfriend sent corona virus money s telling avoid crowds ","[]","0"
"friend cancelled wedding corona amazing whole thing hard call caterers 32 people week really hope small businesses like keep going ","[]","0.06180555555555556"
"_badgujar1 already stated corona outbreak fatal people 60 years judiciary considering health issue sant shri asharamji bapu jailed fabricated case ","[]","0"
"must die corona","[]","0"
"special service house hold members insist heading world fights corona ","['keepingitlite']","0.44642857142857145"
"gi toc news organized crime time corona the mafia like coronavirus get wherever gi toc network member ","[]","0"
"vvvv much proud great moment religions came together corona proud muslims hindu rituals grim situation proud young muslim making indians feel unity diversity ","[]","0.2994140625"
"china suffer consequences corona comes control threat america ","[]","0"
"happy doctor s day doctor babu ","[]","1"
"eve trump producer texted we media blood hands treated like criminal n t amp like legit candidate n t s happening w corona wh pressers re legit blood wo n t wash ","[]","-0.4"
"bye bye corona sincerely 2pm","[]","0.5"
"bye bye corona sincerely 2pm","[]","0.5"
" holyshit m tired corona take life walls upload vienneta de fak need survive shit ","[]","-0.30000000000000004"
"1 rampur guy calls corona helpline asks samosas 2 repeatedly despite warnings 3 doesnt stop 4 arre samosa bhejo bhai 5 rampur dm gets samosas delivered guy 6 also orders clean drain punishment cc ","[]","0"
"veteran eden gardens groundsman maheshwar shaw contributes rs 2000 corona relief fund significant considering earned major part life","[]","0.1875"
"first name corona last name virus nickname covid age 19 nationality china next kin hanta virus relative ebola hobby traveling spreading favorite food lungs kidneys favorite country italy dislikes alcohol","[]","0.0625"
"demand corona virus increasing dangerously people 60 yrs affected most also innocent trapped consiracy stopping forceful secular conversions hindus ","['ReleaseAsharamjiBapuOnParole']","-0.6"
"facts overlooked sant shri asharamji bapu case 1 call details girl speaking someone time said incident 2 fir register torn 3 fax yog vedant sewa samiti demanding ransom amount amidst corona fear want","[]","0"
"donate 12 need help due corona virus get 7 nudes exchange","[]","-0.125"
"mass testing program ordered government could potentially create new tier corona immune brits allowed return work rest continue shelter home wont encourage healthier folk seek virus ","[]","0.06818181818181818"
"r u trying kill corona humans migrant labourers families forced take bath chemical solution upon entry bareilly ","[]","-0.30000000000000004"
"young rebel star donates 50lakhs total 4 5crs","['Prabhas', 'CCC', 'corona']","0.05"
"delhi govt streamlines medical facilities medical teams quarantine facilities hospitals run 2 shifts shift 1 8 6 pm shift 2 6 pm 8 shift 14 days followed 14 days break docs nurses provided accommodation","['Corona']","0"
"bitch ask jimin corona gon na fight","[]","0"
"right cue first coronavirus racism experience going walk bloke yells hard stay 1 5m away lot taking feel like ive baptised post corona australia ","[]","0.10218253968253967"
"start using migrated labour","[]","0"
"help fight answering survey gathering info assist government save lives survey anonymous takes less 1min ","['COVID19', 'SocialDistancing', 'UK']","0"
"dear ji amp ji corona situation control let s create massive small scale industries amp bihar reduce india s dependence china amp reduce states dependence states owe bottom pyramid workforce ","[]","-0.125"
"id die vlexin shirts ugh screw corona virus glad able get shirts atleast","[]","0.5"
" ashok kapoor agra shares overcame covid 19 menace via namo app","['MannKiBaat']","0"
"bjp accused pt nehru pushing army soldiers without warm cloths amp proper ammunition fight chinese army 1962 asked forced doctors nurses paramedical staff fight without providing self protection gears ","[]","0.19999999999999998"
"young rebel star contributes 50 lakhs total contribution 4 5 cr fight aganist ","['Prabhas', 'CCC', 'CoronaCrisisCharity', 'Prabhas']","0.05"
"corona virus definitely showing whos selfish actually cares people","[]","-0.15625"
"infant diagnosed w corona virus orange county taking virus seriously stay fuck away child ","[]","-0.3666666666666667"
"dear chairman sahab plz help bihari people stuck corona lockdown hungry last three days contact jawed 7304114346","[]","0"
"china exporting faulty thermometers amp masks wasnt enough man rubbing new masks feet pass possibility infection target countries still sure dont want call ","[]","0.06818181818181818"
"inhumanity criminal ","[]","-0.4"
"corona took ur jobs yall worried mexicans","[]","0"
"human rights violations threat unacceptable ","['CoronaVirus', 'HumanRights']","0"
"corona spreading rapidly even innocent sant shri asharamji bapu tolerated jail approx 7 yrs ","['ReleaseAsharamjiBapuOnParole']","0.5"
" s true protect life prisoners senior citizen nirdosh sant shri asaramji bapu jail also granted bail prevailing situation covid 19 corona virus pandemic ","[]","0.35"
"contributes 50 lakhs total contribution 4 5 cr fight aganist ","['Prabhas', 'CCC', 'CoronaCrisisCharity', 'Prabhas']","0"
"work pizza ready migrate servers aws azure vmware free pizza offer ends eod ","[]","0.30000000000000004"
"making memes corona deep inside condition","[]","0"
"may almighty allah protect us ameen","[]","0"
"young rebel star contributes 50 lakhs total contribution 4 5 cr fight aganist","['CCC', 'CoronaCrisisCharity', 'Prabhas']","0.05"
"zee hindustan news channel showed whole story mirchi perfomance hayeeee india hi chiz chal rahi corona aur ","['SidNaaz', 'SidNaaz']","0.2"
"enjoy week corona norway song quarantine tix ","['koronanorge', 'visitnorway', 'norwegianmusic']","0.4"
"seems eu migration vital u k economy would thought coronavirus lockdown asparagus crop left rot unfit britons refuse replace foreign pickers news sunday times","['brexit', 'coronavirus']","0.1"
" social distancing advice re hearing right n t simple behind bars crowding issues ventilation issues security issues especially senior citizens higher risk getting infected ","['ReleaseAsharamjiBapuOnParole']","0.028174603174603168"
